date,count
2014-09-27,2306
2015-05-31,2304
2015-01-05,2303
2014-08-25,2303
2014-11-08,2302
2014-08-18,2300
2015-01-24,2299
2015-01-13,2297
2015-08-19,2290
2014-08-08,2284
2014-02-01,2282
2014-08-05,2280
2014-02-09,2264
2015-01-06,2263
2012-09-16,2258
2014-01-12,2256
2012-09-10,2254
2014-07-31,2252
2014-08-07,2241
2012-09-06,2241
2015-06-21,2239
2012-09-05,2234
2014-07-24,2233
2014-09-13,2227
2015-08-17,2226
2014-01-19,2226
2014-07-25,2219
2014-12-24,2219
2015-01-26,2218
2015-01-17,2212
2015-08-08,2205
2015-03-08,2204
2014-08-06,2203
2012-12-25,2203
2014-07-23,2196
2015-08-21,2194
2015-01-02,2187
2015-01-07,2186
2014-08-01,2184
2015-05-24,2181
2014-02-16,2175
2015-02-16,2172
2015-01-19,2171
2014-08-04,2167
2015-07-12,2164
2015-07-26,2161
2015-08-18,2160
2014-07-18,2159
2015-08-20,2148
2014-09-28,2146
2014-07-10,2140
2014-08-23,2137
2015-01-12,2137
2014-07-15,2136
2012-08-30,2133
2014-08-11,2129
2014-12-14,2124
2014-05-26,2118
2015-02-14,2111
2015-07-19,2107
2014-07-11,2104
2014-02-02,2102
2015-02-03,2102
2014-11-23,2086
2014-07-30,2083
2014-07-14,2082
2015-08-02,2080
2012-09-04,2078
2014-07-22,2076
2014-12-29,2073
2014-08-16,2071
2014-07-28,2070
2014-12-30,2067
2015-01-08,2064
2014-09-14,2063
2014-11-22,2063
2014-12-31,2057
2015-08-25,2054
2014-07-17,2047
2014-07-16,2045
2014-07-09,2041
2012-08-29,2041
2014-07-29,2036
2015-02-22,2032
2014-07-03,2031
2015-07-05,2025
2015-08-26,2024
2014-07-02,2018
2014-10-05,2018
2014-11-02,2015
2014-10-12,2008
2014-07-21,2006
2012-08-31,2001
2014-09-07,1996
2015-05-25,1989
2015-08-27,1980
2014-09-21,1980
2015-03-01,1977
2014-06-27,1972
2015-08-24,1971
2015-08-15,1967
2014-08-09,1956
2015-02-08,1955
2014-10-19,1953
2014-08-30,1948
2012-08-28,1948
